#OTU ID	T10	T11	T12	T13	T14	T15	T16	T4	T6	T7	T8	T9
uniq1	0	499	174	486	284	0	507	198	0	0	0	0
uniq10	0	0	0	0	0	1	0	0	0	0	0	346
uniq100	0	0	0	0	0	0	0	0	32	0	0	0
uniq101	0	0	0	0	31	0	0	0	0	0	0	0
uniq102	3	0	0	0	0	0	0	0	0	0	0	28
uniq103	17	0	0	0	0	0	0	0	0	0	1	12
uniq104	0	0	0	0	0	0	0	0	0	0	0	30
uniq105	0	0	0	0	0	0	29	0	0	0	0	0
uniq107	0	0	0	0	0	0	0	0	0	0	0	28
uniq108	0	0	0	0	28	0	0	0	0	0	0	0
uniq109	0	0	0	0	0	0	0	0	27	0	0	0
uniq11	0	342	0	0	0	0	0	0	0	0	0	0
uniq110	0	0	0	0	0	0	0	0	0	0	0	27
uniq111	1	0	0	0	0	0	0	0	0	0	0	26
uniq112	0	0	0	0	0	0	0	0	0	0	0	26
uniq113	0	0	0	0	0	0	0	0	26	0	0	0
uniq114	0	0	0	0	25	0	0	0	0	0	0	0
uniq115	0	0	0	0	0	0	0	0	0	0	0	25
uniq116	23	0	0	0	0	0	0	0	0	0	0	0
uniq117	0	0	0	0	0	0	23	0	0	0	0	0
uniq118	0	22	0	0	0	0	0	0	0	0	0	0
uniq119	0	0	0	0	0	0	0	0	0	0	0	22
uniq12	1	0	0	0	0	0	0	0	0	0	328	0
uniq120	0	0	0	0	22	0	0	0	0	0	0	0
uniq123	0	0	0	0	0	0	0	21	0	0	0	0
uniq124	0	0	21	0	0	0	0	0	0	0	0	0
uniq126	0	0	0	0	0	0	0	0	0	0	0	21
uniq127	0	0	0	0	0	0	0	0	20	0	0	0
uniq128	0	0	0	0	0	0	0	0	0	0	0	20
uniq129	0	0	0	0	0	0	0	0	0	0	0	20
uniq13	0	0	0	18	87	0	0	1	0	151	0	0
uniq131	0	0	0	0	0	0	0	0	0	0	0	20
uniq132	0	1	5	0	5	8	0	1	0	0	0	0
uniq133	0	19	0	0	0	0	0	0	0	0	0	0
uniq134	0	0	0	0	0	0	0	0	17	0	0	0
uniq135	0	0	0	17	0	0	0	0	0	0	0	0
uniq136	0	0	0	0	0	0	0	0	0	0	0	17
uniq137	0	0	17	0	0	0	0	0	0	0	0	0
uniq139	0	0	0	0	0	17	0	0	0	0	0	0
uniq14	0	0	0	0	0	0	0	254	0	0	0	0
uniq140	0	0	16	0	0	0	0	0	0	0	0	0
uniq143	0	0	5	1	0	0	0	0	0	0	0	8
uniq144	0	0	0	0	0	14	0	0	0	0	0	0
uniq146	13	0	0	0	0	0	0	0	0	0	0	1
uniq147	0	0	0	0	0	0	0	13	0	1	0	0
uniq148	0	0	0	0	0	0	14	0	0	0	0	0
uniq15	0	0	0	250	0	0	0	0	0	0	0	0
uniq150	0	0	0	0	0	0	0	14	0	0	0	0
