id,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
CPBC0001,Coleoptera,,,,Latridiidae,,Corticariini,,,col001
CPBC0003,Coleoptera,,,,Latridiidae,,Corticariini,,,col001
CPBC0002,Coleoptera,,,,Latridiidae,,Corticariini,,,col001
CPBC0004,Coleoptera,,,,Zopheridae,,Colydiinae,,,col002
CPBC0005,Coleoptera,,,,Staphylinidae,Pselaphinae,,,,col003
CPBC0006,Coleoptera,,,,Apionidae,,,,,col004
CPBC0007,Coleoptera,,,,Staphylinidae,Scydmaeninae,,,,col005
CPBC0008,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col006
CPBC0009,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col006
CPBC0011,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col006
CPBC0012,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col006
CPBC0010,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col006
CPBC0013,Coleoptera,,,,Elateridae,,,,,col007
CPBC0014,Coleoptera,,,,Eucnemidae,,,,,col008
CPBC0015,Coleoptera,,,,Cerambycidae,Lamiinae,,,,col010
CPBC0016,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col011
CPBC0017,Coleoptera,,,,Chrysomelidae,,Alticini,,,col012
CPBC0018,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col013
CPBC0019,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col014
CPBC0021,Coleoptera,,,,Curculionidae,Curculioninae,,,,col015
CPBC0022,Coleoptera,,,,Curculionidae,Curculioninae,,,,col015
CPBC0020,Coleoptera,,,,Curculionidae,Curculioninae,,,,col015
CPBC0023,Coleoptera,,,,Lycidae,,,,,col016
CPBC0025,Coleoptera,,,,Curculionidae,Scolytinae,,,,col020
CPBC0027,Coleoptera,,,,Staphylinidae,,,,,col021
CPBC0026,Coleoptera,,,,Staphylinidae,,,,,col021
CPBC0028,Coleoptera,,,,Ciidae,,,,,col022
CPBC0029,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col023
CPBC0030,Coleoptera,,,,Corylophidae,,,,,col024
CPBC0031,Coleoptera,,,,Anobiidae,,,,,col025
CPBC0032,Coleoptera,,,,Curculionidae,,,,,col027
CPBC0033,Coleoptera,,,,Curculionidae,,,,,col027
CPBC0034,Coleoptera,,,,Curculionidae,,,,,col027
CPBC0035,Coleoptera,,,,Staphylinidae,Staphylininae,,,,col029
CPBC0036,Coleoptera,,,,Curculionidae,Scolytinae,,,,col031
CPBC0037,Coleoptera,,,,Curculionidae,Scolytinae,,,,col031
CPBC0038,Coleoptera,,,,Curculionidae,Scolytinae,,,,col031
CPBC0040,Coleoptera,,,,Chrysomelidae,Galerucinae,Luperini,,,col033
CPBC0041,Coleoptera,,,,Chrysomelidae,Galerucinae,Luperini,,,col033
