id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
CCCP00003,Coleoptera,Cucujiformia,Tenebrionoidea,Mordellidae,,,,,col160
CCCP00005,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,Luperini,,,col084
CCCP00012,Coleoptera,Cucujiformia,Curculionoidea,Attelabidae,,,,,
CCCP00014,Coleoptera,Cucujiformia,Cucujoidea,Silvanidae,,,,,col081
CCCP00015,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Eumolpinae,,,,col035
CCCP00027,Coleoptera,Cucujiformia,Cleroidea,Cleridae,,,,,col098
CCCP00028,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,Anthonomini,,,col133
CCCP00030,Coleoptera,Cucujiformia,Cucujoidea,Silvanidae,,,,,col037
CCCP00033,Coleoptera,Cucujiformia,Tenebrionoidea,Salpingidae,Salpinginae,,,,col057
CCCP00040,Coleoptera,Elateriformia,Elateroidea,Cantharidae,,,,,col040
CCCP00041,Coleoptera,Elateriformia,Elateroidea,Cantharidae,,,,,col186
CCCP00042,Coleoptera,Elateriformia,Scirtoidea,Scirtidae,,,,,col087
CCCP00045,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Eumolpinae,,,,col163
CCCP00047,Coleoptera,Cucujiformia,Tenebrionoidea,Mordellidae,,,,,col111
CCCP00048,Coleoptera,Cucujiformia,Cleroidea,Cleridae,,,,,col078
CCCP00051,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,,,,col226
CCCP00054,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Eumolpinae,,,,col006
CCCP00055,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,Luperini,,,col033
CCCP00056,Coleoptera,Elateriformia,Byrrhoidea,Ptilodactylidae,,,,,col064
CCCP00058,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Staphylininae,,,,col029
CCCP00061,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,,col102
CCCP00073,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,,,,,
CCCP00074,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,,col067
CCCP00088,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,,Alticini,,,col044
CCCP00095,Coleoptera,Cucujiformia,Tenebrionoidea,Salpingidae,Othniinae,,,,col255
CCCP00096,Coleoptera,Cucujiformia,Coccinelloidea,Coccinellidae,,,,,col200
CCCP00110,Coleoptera,Cucujiformia,Tenebrionoidea,Ciidae,,,,,col022
CCCP00112,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,,,,,col021
CCCP00114,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,,,,col181
