id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
KU354434,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,,Dolomedes,Dolomedes angustivirgatus,
MH891570,Araneae,Araneomorphae,,Salticidae,,,Cheliceroides,Cheliceroides longipalpis,
MT862414,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,,Pisaura,Pisaura mirabilis,
EU854321,Blattodea,,Blaberoidea,Ectobiidae,Blattellinae,,Blattela,Blattella germanica,
KT893459,Blattodea,,Blaberoidea,Blaberidae,Blaberinae,,Blaptica,Blaptica dubia,
KX640825,Blattodea,,Blattoidea,Blattidae,Blattinae,,Periplaneta,Periplaneta australasiae,
HQ232800,Coleoptera,Staphyliniformia,Staphylinoidea,Hydraenidae,,,,Hydraena sp. BMNH 840125,
MH155200,Collembola,Neelipleona,,Neelidae,,,Neelus,Neelus murinus,
MW208844,Collembola,Poduromorpha,Poduroidea,Neanuridae,Neanurinae,Lobellini,Yuukianura,Yuukianura szeptyckii,
NC_032283,Collembola,Entomobryomorpha,Entomobryoidea,Orchesellidae,Orchesellinae,,Orchesella,Orchesella cincta,
KT174472,Diptera,Muscomorpha,Ephydroidea,Drosophilidae,,,Drosophila,Drosophila melanogaster,
MK575474,Diptera,,Culicoidea,Culicidae,Culicinae,Aedini,Aedes,Aedes aegypti,
MT043309,Diptera,Muscomorpha,Asiloidea,Bombyliidae,Anthracinae,Exoprosopini,Hemipenthes,Hemipenthes neimengguensis,
JF927830,Hemiptera,Cimicomorpha,,Nabidae,Nabinae,,Gorpis,Gorpis humeralis,
MG989236,Hemiptera,,Psylloidea,Psyllidae,Aphalaroidinae,,Russelliana,Russelliana solanicola,
MN910279,Hemiptera,,Membracoidea,Cicadellidae,Typhlocybinae,Typhlocybini,Eupteryx,Eupteryx minuscula,
FJ810212,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilio,Papilio maraho,
KY620270,Lepidoptera,,Bombycoidea,Bombycidae,Bombycinae,,Bombyx,Bombyx lemeepauli,
NC_036738,Lepidoptera,,Noctuoidea,Lymantriidae,,,Gynaephora,Gynaephora jiuzhiensis,
