id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
HQ232801,Coleoptera,,Hydrophiloidea,Hydrochidae,,,,Hydrochus sp. BMNH 840193,
HQ232806,Coleoptera,Cucujiformia,Tenebrionoidea,Scraptiidae,,,,Anaspis sp. BMNH 840206,
HQ232820,Coleoptera,Cucujiformia,Lymexyloidea,Lymexylidae,,,,Hylecoetus dermestoides,
HQ232822,Coleoptera,Cucujiformia,Cucujoidea,Erotylidae,,,,Tritoma bipustulata,
HQ232825,Coleoptera,Cucujiformia,Tenebrionoidea,Anthicidae,,,,Omonadus floralis,
JN163945,Coleoptera,Cucujiformia,Curculionoidea,Attelabidae,Rhynchitinae,,,Deporaus betulae,
JN163955,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Baridinae,,,Melanobaris laticollis,
JN163956,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Ceutorhynchinae,,,Ceutorhynchus obstrictus,
JN163960,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cossoninae,,,Brachytemnus porcatus,
JN163966,Coleoptera,Cucujiformia,Curculionoidea,Attelabidae,Apoderinae,,,Apoderus coryli,
JN163967,Coleoptera,Cucujiformia,Curculionoidea,Brentidae,Apioninae,,,Rhopalapion longirostre,
JX220989,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Necydalinae,,,Necydalis ulmi,
JX313673,Coleoptera,,Scarabaeoidea,Glaphyridae,,,,Glaphyrus comosus,
JX313677,Coleoptera,,Haliploidea,Haliplidae,,,,Haliplus flavicollis,
JX313681,Coleoptera,Cucujiformia,Coccinelloidea,Latridiidae,,,Enicmus,Enicmus brevicornis,
JX313683,Coleoptera,Bostrichiformia,Bostrichoidea,Dermestidae,,,,Dermestes peruvianus,
JX313687,Coleoptera,Cucujiformia,Cucujoidea,Silvanidae,Silvaninae,,,Silvanus unidentatus,
JX412726,Coleoptera,,Hydrophiloidea,Hydrophilidae,Hydrophilinae,,,Amphiops globus,
JX412727,Coleoptera,Elateriformia,Byrrhoidea,Ptilodactylidae,,,,Ptilodactyla sp. PTY01,
JX412734,Coleoptera,,Scarabaeoidea,Trogidae,,,,Trox sp. TRO01,
JX412737,Coleoptera,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Agriotes ustulatus,
JX412745,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scaphidiinae,,,Brachynopus latus,
JX412750,Coleoptera,Elateriformia,Elateroidea,Phengodidae,Rhagophthalminae,,,Rhagophthalminae sp. GENSP01,
JX412761,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scydmaeninae,,,Scydmaeninae sp. 840218,
JX412767,Coleoptera,Cucujiformia,Coccinelloidea,Coccinellidae,Coccidulinae,,,Coccidula rufa,
JX412776,Coleoptera,Cucujiformia,Lymexyloidea,Lymyxelidae,,,,Melittomma sp. MEL01,
JX412778,Coleoptera,Cucujiformia,Cucujoidea,Nitidulidae,Cryptarchinae,,,Glischrochilus hortensis,
JX412780,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,Stenochiinae,,,Strongylium suspicax,
JX412784,Coleoptera,Cucujiformia,Cucujoidea,Erotylidae,,,Loberonotha,Loberonotha olivascens,
JX412798,Coleoptera,Cucujiformia,Tenebrionoidea,Scraptiidae,,,,Scraptia sp. SCR03,
JX412803,Coleoptera,Cucujiformia,Cucujoidea,Sphindidae,,,,Sphindus dubius,
JX412811,Coleoptera,Cucujiformia,Tenebrionoidea,Mycteridae,,,,Stilpnonotus mexicanus,
JX412819,Coleoptera,,Scarabaeoidea,Glaresidae,,,,Glaresis sp. GLA01,
JX412824,Coleoptera,,Caraboidea,Carabidae,Cicindelinae,,,Habrodera capensis,
JX412836,Coleoptera,,Scarabaeoidea,Passalidae,,,,Passalidae sp. GENSP01,
JX412837,Coleoptera,Bostrichiformia,Bostrichoidea,Dermestidae,,,,Attagenus hottentotus,
JX412838,Coleoptera,,Scarabaeoidea,Geotrupidae,,,,Anoplotrupes stercorosus,
JX412843,Coleoptera,Cucujiformia,Coccinelloidea,Corylophidae,,,,Gloeosoma sp. GLO01,
JX412850,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,Xyleborus perforans,
JX412852,Coleoptera,Cucujiformia,Tenebrionoidea,Mycteridae,,,,Hemipeplus sp. HEM01,
JX412859,Coleoptera,Cucujiformia,Tenebrionoidea,Anthribidae,Urodontinae,,,Urodontus glabratus,
KJ778881,Coleoptera,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,,,Coleomegilla maculata,
KM586245,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Pselaphinae,,,Euplectus karstenii,
KM923891,Coleoptera,Elateriformia,Elateroidea,Phengodidae,Phengodinae,,,Phrixothrix hirtus,
KP987576,Coleoptera,,Scarabaeoidea,Lucanidae,Lucaninae,,,Nigidionus parryi,
KT070712,Coleoptera,Cucujiformia,Cucujoidea,Laemophloeidae,,,,Cryptolestes turcicus,
KT696258,Coleoptera,Staphyliniformia,Staphylinoidea,Ptiliidae,,,,Ptiliidae sp. BMNH 1274724,
KT696272,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,,,,Leiodidae sp. BMNH 1274772,
KT780625,Coleoptera,,Sphaeriusoidea,Sphindidae,,,,Aspidiphorus orbiculatus,
KT780629,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,,,Atheta gagatina,
KT780637,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Oxytelinae,,,Carpelimus bilineatus,
KT780644,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Pselaphinae,,,Diartiger fossulatus,
KT780650,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Staphylininae,,,Gyrohypnus fracticornis,
KT780658,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Paederinae,,,Medon apicalis,
KT780661,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,Cholevinae,,,Nargus velox,
KT876887,Coleoptera,,Scarabaeoidea,Lucanidae,Lucaninae,,,Dorcus parallelipipedus,
KT876888,Coleoptera,Elateriformia,Byrrhoidea,Dryopidae,,,,Dryops luridus,
KT876890,Coleoptera,,Haliploidea,Haliplidae,,,,Haliplus lineatocollis,
KT876893,Coleoptera,,Dytiscoidea,Dytiscidae,Hydroporinae,,,Hydroporus planus,
KT876896,Coleoptera,,Dytiscoidea,Dytiscidae,Hydroporinae,,,Hydroporus obscurus,
KT876904,Coleoptera,Elateriformia,Elateroidea,Elateridae,Melanotinae,,,Melanotus villosus,
KU302777,Coleoptera,Staphyliniformia,Staphylinoidea,Ptiliidae,,,,Scydosella musawasensis,
KU739483,Coleoptera,,Scarabaeoidea,Scarabaeidae,Scarabaeinae,,,Onthophagus diabolicus,
KU739494,Coleoptera,,Scarabaeoidea,Scarabaeidae,Scarabaeinae,,,Eurysternus caribaeus,
KX035131,Coleoptera,,Staphylinoidea,Hydraenidae,,,,Meropathus sp. BMNH 675618,
KX035152,Coleoptera,Bostrichiformia,Bostrichoidea,Nosodendridae,,,,Nosodendron sp. BMNH 840466,
KX035226,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,Tomicus piniperda,
KX087239,Coleoptera,Bostrichiformia,Bostrichoidea,Dermestidae,,,,Anthrenus verbasci,
KX087240,Coleoptera,,Scarabaeoidea,Scarabaeidae,Aphodiinae,,,Aphodius foetens,
KX087241,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cryptorhynchinae,,,Arachnobas tricolor,
KX087246,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lepturinae,,,Brachyta interrogationis,
